latitude,longitude,category,year,month
42.330969256058665,-71.07389324811123,Needle Program,2021,1
42.33406046416889,-71.07756300229492,Needle Program,2021,1
42.33452995101052,-71.0768837778441,Needle Program,2021,1
42.3615465725274,-71.05392147831084,Needle Program,2021,1
42.34836617565316,-71.0854504205379,Needle Program,2021,1
42.34800455706954,-71.08612953233026,Needle Program,2021,1
42.34516924611945,-71.0784923886436,Needle Program,2021,1
42.34194050066807,-71.09488651761976,Needle Program,2021,1
42.2977867006812,-71.11542442163298,Needle Program,2021,1
42.34677954439578,-71.07610051264686,Needle Program,2021,1
42.34543704523762,-71.06363219209732,Needle Program,2021,1
42.329050545521696,-71.07561055115222,Needle Program,2021,1
42.29695953576258,-71.0660906011569,Needle Program,2021,1
42.33623511816902,-71.07658092182642,Needle Program,2021,1
42.34839607787345,-71.0461472140599,Needle Program,2021,1
42.34082067488676,-71.06777905255004,Needle Program,2021,1
42.34157755384362,-71.08274353948974,Needle Program,2021,1
42.341265060143805,-71.08322964195824,Needle Program,2021,1
42.33962955462491,-71.08329054477738,Needle Program,2021,1
42.33790288189383,-71.07945201185909,Needle Program,2021,1
42.32534652152822,-71.0572825184797,Needle Program,2021,1
42.34112676330501,-71.08115257615108,Needle Program,2021,1
42.32681298334565,-71.05226347503587,Needle Program,2021,1
42.34096433100781,-71.06353188321086,Needle Program,2021,1
42.34276502162908,-71.0652727863382,Needle Program,2021,1
42.34516924611945,-71.0784923886436,Needle Program,2021,1
42.32206935725668,-71.06646277873045,Needle Program,2021,1
42.32931924236401,-71.06288027223034,Needle Program,2021,1
42.33050651714964,-71.05466250077778,Needle Program,2021,1
42.3461195459571,-71.07725051650081,Needle Program,2021,1
42.3239357109806,-71.06365770395084,Needle Program,2021,1
42.3398695482575,-71.07875053373242,Needle Program,2021,1
42.3375295470143,-71.07752053652928,Needle Program,2021,1
42.330847884439486,-71.05451307993913,Needle Program,2021,1
42.34106966122518,-71.08107046874387,Needle Program,2021,1
42.30838649851092,-71.10055478004753,Needle Program,2021,1
42.33461231436397,-71.0792865283655,Needle Program,2021,1
42.3479825600222,-71.0877685360614,Needle Program,2021,1
42.34411986432357,-71.10418148600712,Needle Program,2021,1
42.3403325424792,-71.07391752208484,Needle Program,2021,1
42.331261303285714,-71.06588254243142,Needle Program,2021,1
42.34179373608107,-71.06561851488266,Needle Program,2021,1
42.31615955660043,-71.08263059533414,Needle Program,2021,1
42.28856672239777,-71.03886510096952,Needle Program,2021,1
42.33048127106737,-71.05674852220669,Needle Program,2021,1
42.33048127106737,-71.05674852220669,Needle Program,2021,1
42.34817385294457,-71.08287482270966,Needle Program,2021,1
42.34770450347818,-71.08802557759982,Needle Program,2021,1
42.33965052330202,-71.08026177350708,Needle Program,2021,1
42.333659543225366,-71.07423053775352,Needle Program,2021,1
42.342690558010965,-71.08484029246866,Needle Program,2021,1
42.2804696830094,-71.17032087362051,Needle Program,2021,1
42.34057702788849,-71.08388548865685,Needle Program,2021,1
42.33634954278383,-71.07396053126185,Needle Program,2021,1
42.3512697051296,-71.06379412322124,Needle Program,2021,1
42.35120798547554,-71.06368490908795,Needle Program,2021,1
42.3512697051296,-71.06379412322124,Needle Program,2021,1
42.36309564337426,-71.05407128727174,Needle Program,2021,1
42.35122177256567,-71.04980054335564,Needle Program,2021,1
42.33158952038218,-71.05680050279821,Needle Program,2021,1
42.36309564337426,-71.05407128727174,Needle Program,2021,1
42.29558960974117,-71.11972072502172,Needle Program,2021,1
42.33904954957252,-71.07970053832373,Needle Program,2021,1
42.32946951533331,-71.05335049991645,Needle Program,2021,1
42.33527957783087,-71.10043059299795,Needle Program,2021,1
42.33966189481463,-71.07955550829448,Needle Program,2021,1
42.3512697051296,-71.06379412322124,Needle Program,2021,1
42.33971492257137,-71.08014197519589,Needle Program,2021,1
42.382384521704736,-71.06113539936437,Needle Program,2021,1
42.333714730978926,-71.07809234318914,Needle Program,2021,1
42.34140953648596,-71.07000051108157,Needle Program,2021,1
42.33787255594408,-71.08015450029166,Needle Program,2021,1
42.33744397935304,-71.07563669197718,Needle Program,2021,1
42.33946039538093,-71.06435548055306,Needle Program,2021,1
42.349475569547735,-71.09552854989427,Needle Program,2021,1
42.38242952827889,-71.06628041102219,Needle Program,2021,1
42.33742954375777,-71.07521053172296,Needle Program,2021,1
42.33328907967479,-71.06818200844121,Needle Program,2021,1
42.3446985385724,-71.07138750691782,Needle Program,2021,1
42.30094428837872,-71.10606783879405,Needle Program,2021,1
42.301182839937326,-71.104576120318,Needle Program,2021,1
42.3519564724601,-71.04975652045071,Needle Program,2021,1
42.29753960258014,-71.11478071022958,Needle Program,2021,1
42.344077598818735,-71.10032908662853,Needle Program,2021,1
42.33744397935304,-71.07563669197718,Needle Program,2021,1
42.3463821760709,-71.08030302345135,Needle Program,2021,1
42.34667760565202,-71.07929727718538,Needle Program,2021,1
42.33313951826553,-71.05567049687119,Needle Program,2021,1
42.33996952987389,-71.06477050247794,Needle Program,2021,1
42.36050496345828,-71.06692448490107,Needle Program,2021,1
42.343629551096456,-71.08096053062255,Needle Program,2021,1
42.3436295514317,-71.08096053054581,Needle Program,2021,1
42.34416788250646,-71.08032691011311,Needle Program,2021,1
42.33903026761137,-71.09688220657024,Needle Program,2021,1
42.336467638327285,-71.07738322949821,Needle Program,2021,1
42.35089009468474,-71.0777341219886,Needle Program,2021,1
42.35936017971806,-71.05639292820484,Needle Program,2021,1
42.32983951585025,-71.05378050009462,Needle Program,2021,1
42.33537954580105,-71.07597053797073,Needle Program,2021,1
42.325919524198746,-71.05975052227085,Needle Program,2021,1
42.33224253230064,-71.06613852291,Needle Program,2021,1
42.33252956373739,-71.06664057622365,Needle Program,2021,1
42.33252956373739,-71.06664057622365,Needle Program,2021,1
42.33732954361271,-71.07450052999768,Needle Program,2021,1
42.33771862473287,-71.07449433537452,Needle Program,2021,1
42.34300953566264,-71.06948050575252,Needle Program,2021,1
42.30037941506448,-71.06251225566201,Needle Program,2021,1
42.34299244678575,-71.08447118401322,Needle Program,2021,1
42.35221962970387,-71.14183064807135,Needle Program,2021,1
42.299934103809576,-71.11355767515576,Needle Program,2021,1
42.34194057882008,-71.08233603073215,Needle Program,2021,1
42.351791507957245,-71.06404476369138,Needle Program,2021,1
42.3517923567408,-71.0640330362329,Needle Program,2021,1
42.35179550637173,-71.06363893564746,Needle Program,2021,1
42.351656990228975,-71.0642574118919,Needle Program,2021,1
42.301182839937326,-71.104576120318,Needle Program,2021,1
42.34049754666956,-71.07746952975619,Needle Program,2021,1
42.33221951603366,-71.05405049524857,Needle Program,2021,1
42.366093579890425,-71.05336949895775,Needle Program,2021,1
42.33307254477036,-71.07519154143678,Needle Program,2021,1
42.33344410411566,-71.07596605867812,Needle Program,2021,1
42.34847955907277,-71.08746053445824,Needle Program,2021,1
42.351656990228975,-71.0642574118919,Needle Program,2021,1
42.33115950942742,-71.04871048595652,Needle Program,2021,1
42.34360675817561,-71.07974896566729,Needle Program,2021,1
42.364690457538245,-71.05991198329703,Needle Program,2021,1
42.32365087982908,-71.06020487949122,Needle Program,2021,1
42.33618954561833,-71.07622053655587,Needle Program,2021,1
42.3604895271305,-71.06396045481053,Needle Program,2021,1
42.31337157823033,-71.09827763680785,Needle Program,2021,1
42.33729954638043,-71.07695053609241,Needle Program,2021,1
42.337829537398704,-71.07010051941366,Needle Program,2021,1
42.33019503968005,-71.04491348388676,Needle Program,2021,1
42.31953943706017,-71.07066843551924,Needle Program,2021,1
42.339931378068286,-71.08423570227727,Needle Program,2021,1
42.33384450545064,-71.04903952338411,Needle Program,2021,1
42.33307254477036,-71.07519154143678,Needle Program,2021,1
42.33734954219986,-71.07340052799009,Needle Program,2021,1
42.32691185229388,-71.06696263876682,Needle Program,2021,1
42.33237958020385,-71.10189060280061,Needle Program,2021,1
42.326378812059325,-71.06688971737135,Needle Program,2021,1
42.326378812059325,-71.06688971737135,Needle Program,2021,1
42.32342972866327,-71.06339757767157,Needle Program,2021,1
42.346789580645385,-71.10348057434229,Needle Program,2021,1
42.356610363799824,-71.1401465296347,Needle Program,2021,1
42.33307254477036,-71.07519154143678,Needle Program,2021,1
42.36136567631088,-71.07232035282027,Needle Program,2021,1
42.35125093693004,-71.07305229181401,Needle Program,2021,1
42.34232954334082,-71.07514052043705,Needle Program,2021,1
42.36822481424513,-71.05725371260363,Needle Program,2021,1
42.321227870150665,-71.08864277305435,Needle Program,2021,1
42.300641362152646,-71.11260740705258,Needle Program,2021,1
42.33946039538093,-71.06435548055306,Needle Program,2021,1
42.35024955039476,-71.0809505157855,Needle Program,2021,1
42.32425481324247,-71.05631812897452,Needle Program,2021,1
42.3481895397974,-71.07276050201062,Needle Program,2021,1
42.338299176436095,-71.07917027943566,Needle Program,2021,1
42.349585506520405,-71.04764344266023,Needle Program,2021,1
42.32293332316233,-71.07158689806388,Needle Program,2021,1
42.32318303962599,-71.07101304790505,Needle Program,2021,1
42.330250469876106,-71.05028039406503,Needle Program,2021,1
42.34256259442734,-71.08186363168875,Needle Program,2021,1
42.3602138785627,-71.05067689821558,Needle Program,2021,1
42.34256259442734,-71.08186363168875,Needle Program,2021,1
42.335359544282014,-71.07518053611683,Needle Program,2021,1
42.329239522114,-71.05811051137628,Needle Program,2021,1
42.33015185343263,-71.08018018458665,Needle Program,2021,1
42.348389541270656,-71.07384050397454,Needle Program,2021,1
42.3315975524298,-71.08123355804257,Needle Program,2021,1
42.30824951156896,-71.04920053814428,Needle Program,2021,1
42.33150958202587,-71.10309060767547,Needle Program,2021,1
42.330100940567895,-71.05593166869608,Needle Program,2021,1
42.33807291109993,-71.07578097684669,Needle Program,2021,1
42.33631954333838,-71.07474053306453,Needle Program,2021,1
42.33657051853893,-71.07646525665628,Needle Program,2021,1
42.312866446263854,-71.05804342638886,Needle Program,2021,1
42.35491954261445,-71.0753304930571,Needle Program,2021,1
42.3433295312933,-71.06601049771292,Needle Program,2021,1
